water_year,an_CPUE
1975,1843.89127
1976,2322.595638
1977,2627.117503
1978,1847.025278
1979,1546.161276
1980,1809.783943
1981,2529.223791
1982,1182.93658
1983,1124.004521
1984,2847.346794
1985,2619.25596
1986,1563.755938
1987,2192.707975
1988,1676.068634
1989,2805.442597
1990,3217.485406
1991,3010.274854
1992,3990.533105
1993,4178.682321
1994,13960.34745
1995,3706.168754
1996,3938.793352
1997,6806.80198
1998,6696.873715
1999,11568.19455
2000,9804.105054
2001,9735.405803
2002,16005.22677
2003,11529.85228
2004,10661.57337
2005,7332.79316
2006,7956.887318
2007,7890.179584
2008,10121.15981
2009,9627.694867
2010,7623.765148
2011,4920.643753
2012,8559.608077
2013,9351.2627
2014,11122.28666
2015,11427.59439
2016,11647.38514
2017,10890.31791
2018,9438.152719
2019,10092.69806
2020,6238.084556
