"water_year","Region","CPUE"
1975,"Confluence",817.150076058201
1975,"North",36.9130555555556
1975,"SouthCentral",4583.14596296296
1975,"Suisun Bay",2261.75003232323
1975,"Suisun Marsh",1520.49722222222
1976,"Confluence",1725.18673132617
1976,"North",22.7338888888889
1976,"SouthCentral",3370.21765185185
1976,"Suisun Bay",3998.93468796635
1976,"Suisun Marsh",2495.90523148148
1977,"Confluence",2795.39527777778
1977,"North",56.1342592592593
1977,"SouthCentral",2310.40209006734
1977,"Suisun Bay",4253.23756410256
1977,"Suisun Marsh",4541.61027777778
1978,"Confluence",1013.93504094735
1978,"North",41.45
1978,"SouthCentral",1773.56190958606
1978,"Suisun Bay",5061.04173520374
1978,"Suisun Marsh",3253.30259259259
1979,"Confluence",672.745857485752
1979,"North",31.1901851851852
1979,"SouthCentral",1722.53649077466
1979,"Suisun Bay",3950.40372676706
1979,"Suisun Marsh",2012.08975925926
1980,"Confluence",1564.5846712841
1980,"North",953.660555555556
1980,"SouthCentral",2872.95345925926
1980,"Suisun Bay",3734.40260785511
1980,"Suisun Marsh",1183.24401851852
1981,"Confluence",1451.27076826828
1981,"North",591.968333333333
1981,"SouthCentral",5243.56990740741
1981,"Suisun Bay",4548.30258796759
1981,"Suisun Marsh",2632.68745502645
1982,"Confluence",571.88011866239
1982,"North",548.688333333333
1982,"SouthCentral",909.470637056843
1982,"Suisun Bay",2608.6248503104
1982,"Suisun Marsh",2039.24355026455
1983,"Confluence",554.455085859631
1983,"North",123.106944444444
1983,"SouthCentral",1053.65230052232
1983,"Suisun Bay",1493.06424335929
1983,"Suisun Marsh",2280.29792592593
1984,"Confluence",2019.81986220165
1984,"North",984.815
1984,"SouthCentral",5234.41815899471
1984,"Suisun Bay",3744.92452527925
1984,"Suisun Marsh",2252.75642592593
1985,"Confluence",2209.33802344127
1985,"North",721.332777777778
1985,"SouthCentral",4084.05910953426
1985,"Suisun Bay",4129.47581605529
1985,"Suisun Marsh",1952.07407407407
1986,"Confluence",804.663182835143
1986,"North",102.334166666667
1986,"SouthCentral",1849.95368871252
1986,"Suisun Bay",3285.09855844156
1986,"Suisun Marsh",1776.73009259259
1987,"Confluence",1929.8825125318
1987,"North",941.854444444444
1987,"SouthCentral",5180.95450617284
1987,"Suisun Bay",1888.73424457133
1987,"Suisun Marsh",1022.11416666667
1988,"Confluence",1176.12269854626
1988,"North",167.032222222222
1988,"SouthCentral",6217.35477513228
1988,"Suisun Bay",317.162083877996
1988,"Suisun Marsh",502.671388888889
1989,"Confluence",1832.96291245791
1989,"North",334.929444444444
1989,"SouthCentral",4622.55160541927
1989,"Suisun Bay",1279.10652066924
1989,"Suisun Marsh",5957.6625
1990,"Confluence",3713.55707977208
1990,"North",72.8341666666667
1990,"SouthCentral",7133.24514638448
1990,"Suisun Bay",677.936101234568
1990,"Suisun Marsh",4489.85453703704
1991,"Confluence",2991.69250363699
1991,"North",264.786388888889
1991,"SouthCentral",7854.71532314136
1991,"Suisun Bay",620.471167901235
1991,"Suisun Marsh",3319.70888888889
1992,"Confluence",4449.69342314119
1992,"North",246.032222222222
1992,"SouthCentral",10985.3345291005
1992,"Suisun Bay",1850.3820181224
1992,"Suisun Marsh",2421.22333333333
1993,"Confluence",5440.27351254271
1993,"North",762.683888888889
1993,"SouthCentral",5970.36510802469
1993,"Suisun Bay",2689.82576406926
1993,"Suisun Marsh",6030.26333333333
1994,"Confluence",11291.8883333333
1994,"SouthCentral",18517.1185185185
1994,"Suisun Bay",8868.31296296296
1994,"Suisun Marsh",17164.07
1995,"Confluence",2398.75238331011
1995,"SouthCentral",3797.93255942263
1995,"Suisun Bay",6542.03155411728
1995,"Suisun Marsh",4954.32074502252
1996,"Confluence",5127.74274156809
1996,"SouthCentral",4076.06661669586
1996,"Suisun Bay",5153.36152571965
1996,"Suisun Marsh",5156.73851348735
1997,"Confluence",11328.1896813205
1997,"SouthCentral",6886.06586035559
1997,"Suisun Bay",6487.65064995159
1997,"Suisun Marsh",11219.2708493964
1998,"Confluence",5286.47993452614
1998,"SouthCentral",4168.28457941205
1998,"Suisun Bay",13191.5251329068
1998,"Suisun Marsh",10658.7097966632
1999,"Confluence",14725.2004144372
1999,"SouthCentral",9268.07204297989
1999,"Suisun Bay",17602.795171234
1999,"Suisun Marsh",17886.1510613192
2000,"Confluence",11467.1931148089
2000,"SouthCentral",10007.3376492553
2000,"Suisun Bay",11030.4155812669
2000,"Suisun Marsh",15135.8550537978
2001,"Confluence",16038.8859255348
2001,"SouthCentral",7638.89540141688
2001,"Suisun Bay",7489.76690190448
2001,"Suisun Marsh",15132.050497548
2002,"Confluence",14901.3279304033
2002,"SouthCentral",13495.7295341914
2002,"Suisun Bay",15218.3581170558
2002,"Suisun Marsh",36912.2004398251
2003,"Confluence",9732.28006013339
2003,"SouthCentral",10962.0373893448
2003,"Suisun Bay",15498.8712961685
2003,"Suisun Marsh",18814.5769362031
2004,"Confluence",11162.0903774902
2004,"SouthCentral",8929.26306320733
2004,"Suisun Bay",8926.10571101057
2004,"Suisun Marsh",23713.4605990877
2005,"Confluence",5462.04484413221
2005,"SouthCentral",7404.03871256238
2005,"Suisun Bay",8185.07098528567
2005,"Suisun Marsh",14683.3071240677
2006,"Confluence",5884.31274091609
2006,"SouthCentral",3547.57569274906
2006,"Suisun Bay",11797.1792898334
2006,"Suisun Marsh",15478.0194522923
2007,"Confluence",5708.58537806235
2007,"SouthCentral",11119.1225127366
2007,"Suisun Bay",6000.54932272559
2007,"Suisun Marsh",14418.0287143131
2008,"Confluence",8999.02332851966
2008,"SouthCentral",11109.5208096993
2008,"Suisun Bay",8917.98982653156
2008,"Suisun Marsh",18648.3644711138
2009,"Confluence",10377.9431779477
2009,"SouthCentral",9389.30679510367
2009,"Suisun Bay",10371.1775567992
2009,"Suisun Marsh",16455.4662053923
2010,"Confluence",8688.40081725911
2010,"SouthCentral",9239.69062794824
2010,"Suisun Bay",6444.65856506182
2010,"Suisun Marsh",11321.9261505465
2011,"Confluence",3749.2609112417
2011,"SouthCentral",4062.05743766651
2011,"Suisun Bay",5237.67545192643
2011,"Suisun Marsh",8310.34843952808
2012,"Confluence",6442.3943687683
2012,"SouthCentral",8580.00023830952
2012,"Suisun Bay",7909.93019164193
2012,"Suisun Marsh",15890.1969523529
2013,"Confluence",7641.78628636431
2013,"SouthCentral",12572.8593403101
2013,"Suisun Bay",8706.886548913
2013,"Suisun Marsh",12354.87623811
2014,"Confluence",10481.2545434206
2014,"SouthCentral",16572.9674359997
2014,"Suisun Bay",5135.94705079304
2014,"Suisun Marsh",14172.9835892015
2015,"Confluence",10303.0136530285
2015,"SouthCentral",15341.8129141102
2015,"Suisun Bay",6273.06706265277
2015,"Suisun Marsh",20756.4124132931
2016,"Confluence",8957.21182943699
2016,"SouthCentral",14920.6159775531
2016,"Suisun Bay",10344.0906265321
2016,"Suisun Marsh",17594.1337325848
2017,"Confluence",9637.27119505828
2017,"SouthCentral",7456.71737618355
2017,"Suisun Bay",18446.7628540488
2017,"Suisun Marsh",17020.5647991253
2018,"Confluence",8960.96146449445
2018,"SouthCentral",14083.7502020179
2018,"Suisun Bay",7592.90727204621
2018,"Suisun Marsh",8669.71699963096
2019,"Confluence",6157.3788276717
2019,"SouthCentral",6638.65756862745
2019,"Suisun Bay",19950.1798218954
2019,"Suisun Marsh",13178.9193055556
