"water_year","CPUE"
1975,3998.63427380952
1976,4808.30081018518
1977,4320.28623263889
1978,2739.4144921875
1979,2388.12803361742
1980,2311.15004734848
1981,4364.3118422619
1982,1518.71225966799
1983,1770.63885780423
1984,3476.23666943242
1985,4039.69336044974
1986,1833.95270526696
1987,3734.64409611993
1988,4320.88670701058
1989,4455.39680092593
1990,5306.60623037919
1991,5023.17287764319
1992,7440.37714814815
1993,5703.97006867284
1994,15347.7198611111
1995,3670.29205721496
1996,3486.62244327046
1997,7313.31006271667
1998,7027.34304841306
1999,11542.4222192325
2000,9813.88501821184
2001,10559.2865145865
2002,17201.4683098197
2003,11114.2999589766
2004,10820.8541301329
2005,7029.13228156051
2006,7901.82029504171
2007,8370.08338838685
2008,10448.8370092272
2009,9981.02748551735
2010,7227.18787572659
2011,4520.10737336301
2012,7784.78314032435
2013,9124.99836421962
2014,10500.9320882795
2015,10546.1091906012
2016,10263.7287186776
2017,9913.53675551823
2018,8831.46234064368
2019,8371.62160644224
2020,11528.9862388416
2021,3783.89
