"water_year","month","Region","Season","st_index","CPUE"
2011,1,"Confluence","Winter","Wet",1170.30666666667
2011,1,"SouthCentral","Winter","Wet",13.27
2011,1,"Suisun Bay","Winter","Wet",5274.42
2011,1,"Suisun Marsh","Winter","Wet",4269.88
2011,2,"Confluence","Winter","Wet",2779.33833333333
2011,2,"SouthCentral","Winter","Wet",58.04
2011,2,"Suisun Bay","Winter","Wet",6200.85333333333
2011,2,"Suisun Marsh","Winter","Wet",6483.01
2011,3,"Confluence","Spring","Wet",125.178965188752
2011,3,"SouthCentral","Spring","Wet",230.85836800656
2011,3,"Suisun Bay","Spring","Wet",1545.92775147392
2011,3,"Suisun Marsh","Spring","Wet",485.569606974
2011,4,"Confluence","Spring","Wet",305.036411870128
2011,4,"SouthCentral","Spring","Wet",336.795603118226
2011,4,"Suisun Bay","Spring","Wet",1396.27695089456
2011,4,"Suisun Marsh","Spring","Wet",1174.08830001305
2011,5,"Confluence","Spring","Wet",684.505049346189
2011,5,"SouthCentral","Spring","Wet",286.072090133567
2011,5,"Suisun Bay","Spring","Wet",2799.60746015777
2011,5,"Suisun Marsh","Spring","Wet",2234.54361186777
2011,6,"Confluence","Summer","Wet",4071.8051274381
2011,6,"SouthCentral","Summer","Wet",4441.1197631911
2011,6,"Suisun Bay","Summer","Wet",4598.0881700463
2011,6,"Suisun Marsh","Summer","Wet",4188.4267057029
2011,7,"Confluence","Summer","Wet",6087.97888014853
2011,7,"SouthCentral","Summer","Wet",6491.39215652788
2011,7,"Suisun Bay","Summer","Wet",7939.54165771199
2011,7,"Suisun Marsh","Summer","Wet",8867.4658028847
2011,8,"Confluence","Summer","Wet",6370.92302004191
2011,8,"SouthCentral","Summer","Wet",5680.42452063309
2011,8,"Suisun Bay","Summer","Wet",6546.49922079052
2011,8,"Suisun Marsh","Summer","Wet",2796.60532556714
2011,9,"Confluence","Fall","Wet",6171.74695583203
2011,9,"SouthCentral","Fall","Wet",1689.90120999983
2011,9,"Suisun Bay","Fall","Wet",9169.00135216974
2011,9,"Suisun Marsh","Fall","Wet",26265.3674739178
2011,10,"Confluence","Fall","Wet",3883.1284745749
2011,10,"SouthCentral","Fall","Wet",672.423508259064
2011,10,"Suisun Bay","Fall","Wet",9788.92333844919
2011,10,"Suisun Marsh","Fall","Wet",19729.4432100079
2011,11,"Confluence","Fall","Wet",6042.93535881821
2011,11,"SouthCentral","Fall","Wet",738.660808176533
2011,11,"Suisun Bay","Fall","Wet",3355.14709970982
2011,11,"Suisun Marsh","Fall","Wet",4838.01627844738
2011,12,"Confluence","Winter","Wet",2753.25333333333
2011,12,"SouthCentral","Winter","Wet",266.7
2011,12,"Suisun Bay","Winter","Wet",7823.18666666667
2011,12,"Suisun Marsh","Winter","Wet",7843.47
2012,1,"Confluence","Winter","Neutral",7143.76666666667
2012,1,"SouthCentral","Winter","Neutral",1936.43
2012,1,"Suisun Bay","Winter","Neutral",9224.33333333333
2012,1,"Suisun Marsh","Winter","Neutral",17163.57
2012,2,"Confluence","Winter","Neutral",1341.30833333333
2012,2,"SouthCentral","Winter","Neutral",2427.74
2012,2,"Suisun Bay","Winter","Neutral",11141.9966666667
2012,2,"Suisun Marsh","Winter","Neutral",6440.51
2012,3,"Confluence","Spring","Neutral",794.87156798322
2012,3,"SouthCentral","Spring","Neutral",760.059527232851
2012,3,"Suisun Bay","Spring","Neutral",2383.19893309366
2012,3,"Suisun Marsh","Spring","Neutral",1233.55284318257
2012,4,"Confluence","Spring","Neutral",439.35586497194
2012,4,"SouthCentral","Spring","Neutral",1486.46604983163
2012,4,"Suisun Bay","Spring","Neutral",2568.59765209711
2012,4,"Suisun Marsh","Spring","Neutral",1374.20374985856
2012,5,"Confluence","Spring","Neutral",3297.69806746936
2012,5,"SouthCentral","Spring","Neutral",5827.74539492732
2012,5,"Suisun Bay","Spring","Neutral",8619.17069146441
2012,5,"Suisun Marsh","Spring","Neutral",5733.61250686362
2012,6,"Confluence","Summer","Neutral",6095.58841911308
2012,6,"SouthCentral","Summer","Neutral",16046.6886375511
2012,6,"Suisun Bay","Summer","Neutral",3208.53108478901
2012,6,"Suisun Marsh","Summer","Neutral",10226.0242155601
2012,7,"Confluence","Summer","Neutral",6874.02122987285
2012,7,"SouthCentral","Summer","Neutral",14226.1090839209
2012,7,"Suisun Bay","Summer","Neutral",9249.50528395815
2012,7,"Suisun Marsh","Summer","Neutral",7766.37456362992
2012,8,"Confluence","Summer","Neutral",5939.52421455765
2012,8,"SouthCentral","Summer","Neutral",8338.79941668624
2012,8,"Suisun Bay","Summer","Neutral",9814.47033111706
2012,8,"Suisun Marsh","Summer","Neutral",11834.7010246158
2012,9,"Confluence","Fall","Neutral",10742.5403039726
2012,9,"SouthCentral","Fall","Neutral",9015.60102803639
2012,9,"Suisun Bay","Fall","Neutral",11548.5587285422
2012,9,"Suisun Marsh","Fall","Neutral",23728.0380595752
2012,10,"Confluence","Fall","Neutral",15332.3014648118
2012,10,"SouthCentral","Fall","Neutral",3942.00970136512
2012,10,"Suisun Bay","Fall","Neutral",10778.7962658811
2012,10,"Suisun Marsh","Fall","Neutral",29204.3522920205
2012,11,"Confluence","Fall","Neutral",8465.71595350561
2012,11,"SouthCentral","Fall","Neutral",10492.5659802396
2012,11,"Suisun Bay","Fall","Neutral",13018.5054945754
2012,11,"Suisun Marsh","Fall","Neutral",15953.6083925494
2012,12,"Confluence","Winter","Neutral",3347.47778719474
2012,12,"SouthCentral","Winter","Neutral",976.51412568936
2012,12,"Suisun Bay","Winter","Neutral",1825.2947914105
2012,12,"Suisun Marsh","Winter","Neutral",4339.18501185128
2013,1,"Confluence","Winter","Drought, no barrier",7080.91
2013,1,"SouthCentral","Winter","Drought, no barrier",59.39
2013,1,"Suisun Bay","Winter","Drought, no barrier",13570.98
2013,1,"Suisun Marsh","Winter","Drought, no barrier",17473.05
2013,2,"Confluence","Winter","Drought, no barrier",4010.12833333333
2013,2,"SouthCentral","Winter","Drought, no barrier",767.11
2013,2,"Suisun Bay","Winter","Drought, no barrier",21648.7133333333
2013,2,"Suisun Marsh","Winter","Drought, no barrier",18160.91
2013,3,"Confluence","Spring","Drought, no barrier",3331.44672688136
2013,3,"SouthCentral","Spring","Drought, no barrier",3368.23238682035
2013,3,"Suisun Bay","Spring","Drought, no barrier",8635.46840883701
2013,3,"Suisun Marsh","Spring","Drought, no barrier",7461.19309406914
2013,4,"Confluence","Spring","Drought, no barrier",3985.86029849692
2013,4,"SouthCentral","Spring","Drought, no barrier",5391.25419662941
2013,4,"Suisun Bay","Spring","Drought, no barrier",5980.87351885063
2013,4,"Suisun Marsh","Spring","Drought, no barrier",3144.71541567096
2013,5,"Confluence","Spring","Drought, no barrier",7213.85361391814
2013,5,"SouthCentral","Spring","Drought, no barrier",27597.9350222172
2013,5,"Suisun Bay","Spring","Drought, no barrier",5894.76031566181
2013,5,"Suisun Marsh","Spring","Drought, no barrier",6143.94499717778
2013,6,"Confluence","Summer","Drought, no barrier",7707.86416923493
2013,6,"SouthCentral","Summer","Drought, no barrier",15918.3380035791
2013,6,"Suisun Bay","Summer","Drought, no barrier",4542.97338848215
2013,6,"Suisun Marsh","Summer","Drought, no barrier",6394.99293332776
2013,7,"Confluence","Summer","Drought, no barrier",7691.42807110506
2013,7,"SouthCentral","Summer","Drought, no barrier",13959.5484712182
2013,7,"Suisun Bay","Summer","Drought, no barrier",7020.52935931068
2013,7,"Suisun Marsh","Summer","Drought, no barrier",4209.87686687123
2013,8,"Confluence","Summer","Drought, no barrier",6962.71544905208
2013,8,"SouthCentral","Summer","Drought, no barrier",19662.5252455342
2013,8,"Suisun Bay","Summer","Drought, no barrier",6444.18021842223
2013,8,"Suisun Marsh","Summer","Drought, no barrier",6094.30925015372
2013,9,"Confluence","Fall","Drought, no barrier",12700.6899474791
2013,9,"SouthCentral","Fall","Drought, no barrier",10959.8891240259
2013,9,"Suisun Bay","Fall","Drought, no barrier",15411.03637693
2013,9,"Suisun Marsh","Fall","Drought, no barrier",19115.2419725772
2013,10,"Confluence","Fall","Drought, no barrier",11472.1176053177
2013,10,"SouthCentral","Fall","Drought, no barrier",12974.2280202137
2013,10,"Suisun Bay","Fall","Drought, no barrier",7982.59579400009
2013,10,"Suisun Marsh","Fall","Drought, no barrier",22934.1521537937
2013,11,"Confluence","Fall","Drought, no barrier",7710.05475668645
2013,11,"SouthCentral","Fall","Drought, no barrier",7408.68582715929
2013,11,"Suisun Bay","Fall","Drought, no barrier",16449.7794750663
2013,11,"Suisun Marsh","Fall","Drought, no barrier",7843.6211652071
2013,12,"Confluence","Winter","Drought, no barrier",360.013022716604
2013,12,"SouthCentral","Winter","Drought, no barrier",628.592078052914
2013,12,"Suisun Bay","Winter","Drought, no barrier",5478.99936162078
2013,12,"Suisun Marsh","Winter","Drought, no barrier",1040.21371350649
2014,1,"Confluence","Winter","Drought, no barrier",7512.07833333333
2014,1,"SouthCentral","Winter","Drought, no barrier",4807.3
2014,1,"Suisun Bay","Winter","Drought, no barrier",15679.5466666667
2014,1,"Suisun Marsh","Winter","Drought, no barrier",17642.89
2014,2,"Confluence","Winter","Drought, no barrier",5764.77
2014,2,"SouthCentral","Winter","Drought, no barrier",8985.09
2014,2,"Suisun Bay","Winter","Drought, no barrier",15342.7233333333
2014,2,"Suisun Marsh","Winter","Drought, no barrier",7502.35
2014,3,"Confluence","Spring","Drought, no barrier",1438.77185112518
2014,3,"SouthCentral","Spring","Drought, no barrier",1719.27300082581
2014,3,"Suisun Bay","Spring","Drought, no barrier",5416.65860332142
2014,3,"Suisun Marsh","Spring","Drought, no barrier",1967.07461585817
2014,4,"Confluence","Spring","Drought, no barrier",2520.6962547271
2014,4,"SouthCentral","Spring","Drought, no barrier",2711.87370822617
2014,4,"Suisun Bay","Spring","Drought, no barrier",5374.66217944242
2014,4,"Suisun Marsh","Spring","Drought, no barrier",5387.11733672642
2014,5,"Confluence","Spring","Drought, no barrier",10148.6371445808
2014,5,"SouthCentral","Spring","Drought, no barrier",17843.4090990971
2014,5,"Suisun Bay","Spring","Drought, no barrier",6855.43705650939
2014,5,"Suisun Marsh","Spring","Drought, no barrier",10513.0018413076
2014,6,"Confluence","Summer","Drought, no barrier",8939.49159604875
2014,6,"SouthCentral","Summer","Drought, no barrier",23912.2053212578
2014,6,"Suisun Bay","Summer","Drought, no barrier",5340.49881565652
2014,6,"Suisun Marsh","Summer","Drought, no barrier",8984.54734361138
2014,7,"Confluence","Summer","Drought, no barrier",12604.7166957197
2014,7,"SouthCentral","Summer","Drought, no barrier",40711.0135223489
2014,7,"Suisun Bay","Summer","Drought, no barrier",4120.56543764537
2014,7,"Suisun Marsh","Summer","Drought, no barrier",7645.82871131501
2014,8,"Confluence","Summer","Drought, no barrier",21293.3642116063
2014,8,"SouthCentral","Summer","Drought, no barrier",24055.2607757955
2014,8,"Suisun Bay","Summer","Drought, no barrier",7484.41269265343
2014,8,"Suisun Marsh","Summer","Drought, no barrier",18953.7058098702
2014,9,"Confluence","Fall","Drought, no barrier",14998.3087687838
2014,9,"SouthCentral","Fall","Drought, no barrier",17120.2768022621
2014,9,"Suisun Bay","Fall","Drought, no barrier",4584.62507593283
2014,9,"Suisun Marsh","Fall","Drought, no barrier",27672.0874907858
2014,10,"Confluence","Fall","Drought, no barrier",14915.8101826449
2014,10,"SouthCentral","Fall","Drought, no barrier",16382.7353684858
2014,10,"Suisun Bay","Fall","Drought, no barrier",1839.91841655214
2014,10,"Suisun Marsh","Fall","Drought, no barrier",15667.444833191
2014,11,"Confluence","Fall","Drought, no barrier",7471.4733828125
2014,11,"SouthCentral","Fall","Drought, no barrier",3708.39990601564
2014,11,"Suisun Bay","Fall","Drought, no barrier",5206.75566987127
2014,11,"Suisun Marsh","Fall","Drought, no barrier",8932.87619611955
2014,12,"Confluence","Winter","Drought, no barrier",3928.44121214474
2014,12,"SouthCentral","Winter","Drought, no barrier",4808.52819667802
2014,12,"Suisun Bay","Winter","Drought, no barrier",6624.12848954526
2014,12,"Suisun Marsh","Winter","Drought, no barrier",11003.9582869815
2015,1,"Confluence","Winter","Drought, with barrier",6127.81666666667
2015,1,"SouthCentral","Winter","Drought, with barrier",206.5
2015,1,"Suisun Bay","Winter","Drought, with barrier",4893.41
2015,1,"Suisun Marsh","Winter","Drought, with barrier",18050.88
2015,2,"Confluence","Winter","Drought, with barrier",1061.01
2015,2,"SouthCentral","Winter","Drought, with barrier",1785.71
2015,2,"Suisun Bay","Winter","Drought, with barrier",20934.1433333333
2015,2,"Suisun Marsh","Winter","Drought, with barrier",10464.75
2015,3,"Confluence","Spring","Drought, with barrier",3365.59051743424
2015,3,"SouthCentral","Spring","Drought, with barrier",5104.15434748046
2015,3,"Suisun Bay","Spring","Drought, with barrier",6296.34080568097
2015,3,"Suisun Marsh","Spring","Drought, with barrier",8537.8615277579
2015,4,"Confluence","Spring","Drought, with barrier",4518.11803519146
2015,4,"SouthCentral","Spring","Drought, with barrier",11414.083131379
2015,4,"Suisun Bay","Spring","Drought, with barrier",13664.7823963526
2015,4,"Suisun Marsh","Spring","Drought, with barrier",2570.59320394321
2015,5,"Confluence","Spring","Drought, with barrier",9817.49262294918
2015,5,"SouthCentral","Spring","Drought, with barrier",19270.0438399929
