"water_year","Season","BPUE_ug"
1975,"Fall",6842.92112673582
1975,"Spring",16792.4055569658
1975,"Summer",29091.1209477368
1976,"Fall",3908.40069588511
1976,"Spring",26780.1137426385
1976,"Summer",15930.3500546517
1977,"Fall",4145.67673511234
1977,"Spring",7348.10091276135
1977,"Summer",5379.2026668809
1978,"Fall",7761.10302296107
1978,"Spring",33060.9559823401
1978,"Summer",19652.7255769034
1978,"Winter",854.004424328274
1979,"Fall",3425.92410838922
1979,"Spring",14315.1592448604
1979,"Summer",13750.1271103033
1979,"Winter",2132.98897217992
1980,"Fall",11831.438174455
1980,"Spring",33363.2030078355
1980,"Summer",17802.8128270711
1980,"Winter",1997.82609788097
1981,"Fall",1666.2512872212
1981,"Spring",13766.2378287878
1981,"Summer",17863.7385444377
1981,"Winter",3080.89911187959
1982,"Fall",7494.70150711502
1982,"Spring",17982.3153674486
1982,"Summer",49058.1809349754
1982,"Winter",3540.28947175421
1983,"Fall",2739.09824278862
1983,"Summer",17111.4750489344
1983,"Winter",1093.24362071891
1984,"Fall",3291.85696396794
1984,"Spring",18423.441632748
1984,"Summer",13559.6100073662
1985,"Fall",2519.86257854234
1985,"Spring",20509.4739637406
1985,"Summer",27372.4389179381
1986,"Fall",5125.40950419474
1986,"Spring",41561.5656843991
1986,"Summer",33163.875748489
1987,"Fall",1714.47251609558
1987,"Spring",15607.751251526
1987,"Summer",3832.43894257458
1988,"Fall",1917.88467861869
1988,"Spring",5280.19776060157
1988,"Summer",6271.48331377173
1989,"Fall",3720.9664519501
1989,"Spring",3301.88040448475
1989,"Summer",10703.4536275772
1990,"Fall",3795.03077432688
1990,"Spring",4214.71833142656
1990,"Summer",6466.47688133729
1991,"Fall",4195.18709340748
1991,"Spring",5458.40266007784
1991,"Summer",3925.11924063953
1992,"Fall",4877.87640973287
1992,"Spring",2777.35766547025
1992,"Summer",3536.60504778065
1993,"Fall",2153.8175518524
1993,"Spring",6166.19591748658
1993,"Summer",14512.6540008954
1994,"Fall",3367.09434290513
1994,"Spring",494.255929267102
1994,"Summer",3953.61641934526
1995,"Fall",3416.55399057233
1995,"Spring",13974.874291154
1995,"Summer",8261.75472856145
1995,"Winter",1090.1814900792
1996,"Fall",2368.29269247163
1996,"Spring",4237.05414105709
1996,"Summer",5229.20858910064
1996,"Winter",657.431560283015
1997,"Fall",5411.37139920192
1997,"Spring",1819.21549170652
1997,"Summer",5029.24098730392
1997,"Winter",928.336413534089
1998,"Fall",4379.20114951707
1998,"Spring",11631.0016726644
1998,"Summer",9616.40919874946
1998,"Winter",732.555863171306
1999,"Fall",7574.51845339711
1999,"Spring",5507.93716663688
1999,"Summer",6005.76683234524
1999,"Winter",925.756131181532
2000,"Fall",6856.74798329482
2000,"Spring",5805.16191057822
2000,"Summer",4037.81537891728
2000,"Winter",1279.65748919055
2001,"Fall",5240.28762235625
2001,"Spring",1768.28822215958
2001,"Summer",5651.31126309382
2001,"Winter",1135.60589008397
2002,"Fall",4830.18390885785
2002,"Spring",2703.00264088179
2002,"Summer",6490.99340814511
2002,"Winter",1182.58691856294
2003,"Fall",4236.146863232
2003,"Spring",2286.97509254486
2003,"Summer",4927.52987700945
2003,"Winter",1759.44061666502
2004,"Fall",3991.95723740483
2004,"Spring",1535.7964459156
2004,"Summer",4974.37324373658
2004,"Winter",730.378770526589
2005,"Fall",3449.12337249043
2005,"Spring",1639.0291569523
2005,"Summer",6082.3049963168
2005,"Winter",738.372567354846
2006,"Fall",4076.54446746492
2006,"Summer",12470.1540769764
2006,"Winter",2118.30790987332
2007,"Fall",4158.84713806024
2007,"Spring",1267.008911041
2007,"Summer",5786.98056793778
2007,"Winter",785.973896681562
2008,"Fall",3902.85905502929
2008,"Spring",4797.6496238617
2008,"Summer",7038.50606713508
2008,"Winter",2026.99692942969
2009,"Fall",4405.76540152382
2009,"Spring",2314.92177783213
2009,"Summer",5943.8274171107
2009,"Winter",877.616268648162
2010,"Fall",5062.91246096601
2010,"Spring",1537.47009556847
2010,"Summer",4151.46796259313
2010,"Winter",719.852997108714
