"water_year","Season","BPUE_ug"
2010,"Fall",31.145289748418
2011,"Fall",2569.8166031012
2012,"Fall",5117.31152040194
2012,"Winter",2301.25710446218
2013,"Fall",2684.96097053075
2013,"Winter",540.319824002842
2014,"Fall",812.72140914785
2014,"Winter",594.628826235746
2015,"Fall",1878.66583060674
2015,"Winter",509.123788877332
2016,"Fall",1673.12978146371
2016,"Winter",2250.46212088211
2017,"Fall",1236.47808678816
2017,"Winter",5348.11353003713
2018,"Fall",1434.727480265
2018,"Winter",1600.19354924275
2019,"Winter",281.017110393465
