EMP_Micro,EMP_Meso,EMP_Macro,STN_Meso,STN_Macro,FMWT_Meso,FMWT_Macro,twentymm_Meso,FRP_Meso,FRP_Macro,YBFMP,LI_Meso,LI_Micro,Lifestage,Taxname,Level,Phylum,Class,Order,Family,Genus,Species,Intro,EMPstart,EMPend,FMWTstart,FMWTend,twentymmstart,twentymmend,twentymmstart2,IBMR
NA,NA,NA,NA,NA,NA,NA,NA,Leech,Leech,NA,NA,NA,Undifferentiated,Hirudinea,Class,Annelida,Hirudinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Lumbricidae,Lumbricidae,NA,NA,NA,Adult,Annelida,Phylum,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/1995,1/1/2006,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Stylaria,Stylaria,NA,NA,NA,Adult,Annelida,Phylum,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Oligocheate,Oligocheate,NA,NA,NA,Undifferentiated,Annelida,Phylum,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hediste limnicola,Hediste limnicola,NA,NA,NA,Undifferentiated,Lumbricidae,Family,Annelida,Oligochaeta,Haplotaxida,Lumbricidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Polychaete,Polychaete,NA,NA,NA,Undifferentiated,Stylaria,Genus,Annelida,Oligochaeta,Haplotaxida,Naididae,Stylaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annelida undifferentiated,NA,NA,Undifferentiated,Oligochaeta,Class,Annelida,Oligochaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,Annelid worms,NA,NA,NA,NA,NA,Undifferentiated,Polychaeta,Class,Annelida,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Worm UNID,Worm UNID,NA,NA,NA,Undifferentiated,Hediste limnicola,Species,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,limnicola,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Spider,Spider,NA,NA,NA,Adult,Araneae,Order,Arthropoda,Arachnida,Araneae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
